          it       t  truncado con cos sigmap(n) a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
          48   83001.000000000000       0.78554252603472441        0.0000000000000000        6.7674659868746032E-002   270362567.95923400        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          49   83101.000000000000       0.78553558502153109        0.0000000000000000        6.7751358865126440E-002   270464590.69830352        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          51   83301.000000000000       0.78552168075034234        0.0000000000000000        6.7904299481889543E-002   270667798.80150908        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          53   83501.000000000000       0.78550774693313019        0.0000000000000000        6.8056630539893206E-002   270869894.75574446        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          55   83701.000000000000       0.78549378370626477        0.0000000000000000        6.8208352394386093E-002   271070883.76948184        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          56   83801.000000000000       0.78548679110679975        0.0000000000000000        6.8283984988806765E-002   271170964.79733801        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          58   84001.000000000000       0.78547278402092213        0.0000000000000000        6.8434793763759938E-002   271370303.13438767        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          60   84201.000000000000       0.78545874786585457        0.0000000000000000        6.8584994342031080E-002   271568547.48833680        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          63   84501.000000000000       0.78543763942595657        0.0000000000000000        6.8809155830685240E-002   271863874.07835978        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          65   84701.000000000000       0.78542353119258024        0.0000000000000000        6.8957837940028868E-002   272059406.00505912        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          67   84901.000000000000       0.78540939436541379        0.0000000000000000        6.9105913538785924E-002   272253861.93403512        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          69   85101.000000000000       0.78539522907998882        0.0000000000000000        6.9253383166182486E-002   272447246.97036928        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          72   85401.000000000000       0.78537392808874174        0.0000000000000000        6.9473452651818257E-002   272735327.73145133        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          74   85601.000000000000       0.78535969224967728        0.0000000000000000        6.9619409872757027E-002   272926057.77190775        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          77   85901.000000000000       0.78533828606125966        0.0000000000000000        6.9837213612512355E-002   273210179.76237231        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
